Time, Download, Upload
20:33:34.035584, 9.970000, 10.250000 
20:34:27.516650, 9.920000, 10.200000 
20:35:21.162602, 9.870000, 10.100000 
20:36:14.600210, 10.040000, 10.240000 
20:37:09.213468, 9.500000, 10.150000 
20:37:59.650927, 9.670000, 10.160000 
20:38:51.165358, 9.230000, 10.230000 
20:39:45.338359, 9.550000, 10.150000 
20:40:40.290604, 9.730000, 9.890000 
20:41:19.625331, 9.250000, 10.220000 
20:42:06.053026, 9.910000, 10.240000 
20:42:59.429446, 9.790000, 10.230000 
20:43:41.248099, 10.140000, 10.230000 
20:44:23.165789, 10.160000, 10.210000 
20:45:17.138668, 9.590000, 10.220000 
20:46:10.100858, 9.920000, 10.220000 
20:47:06.085480, 9.170000, 10.140000 
20:47:52.859940, 8.440000, 10.160000 
20:48:49.940431, 9.280000, 9.900000 
20:49:43.092955, 9.990000, 10.190000 
20:50:35.746377, 9.990000, 10.250000 
20:51:21.012430, 10.150000, 10.220000 
20:52:10.577764, 8.360000, 10.180000 
20:53:10.086923, 8.010000, 10.180000 
20:53:50.455173, 8.800000, 10.160000 
20:54:43.925080, 8.560000, 10.240000 
20:55:37.750970, 9.660000, 10.200000 
20:56:30.493523, 10.000000, 10.240000 
20:57:23.230440, 9.980000, 10.250000 
20:58:15.868704, 9.980000, 10.230000 
